--------- beginning of main
--------- beginning of system
08-05 02:09:16.469  9658 16016 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all&global_feed=true
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:09:28.166  9658 16381 D CustomInterceptor: Vary Cookie
08-05 02:09:28.166  9658 16381 D CustomInterceptor: X-gunicorn-server app04
08-05 02:09:28.166  9658 16381 D CustomInterceptor: X-Sideshow-Bob I'll be back. You can't keep the Democrats out of the White House forever, and when they get in, I'm back on the streets, with all my criminal buddies.
08-05 02:09:28.167  9658 16381 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.167  9658 16381 D CustomInterceptor: REQ https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:28.167  9658 16381 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.181  9658 16381 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-05 02:09:28.182  9658 16381 D CustomInterceptor: HEADER REQUEST
08-05 02:09:28.182  9658 16381 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:28.182  9658 16381 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:28.182  9658 16381 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:09:28.182  9658 16381 D CustomInterceptor: CACHED STATS: size = '14', maxSize = '100', hitCount = '20', createCount = '0', putCount = '20', evictionCount = '0', missCount = '22', toString = 'LruCache[maxSize=100,hits=20,misses=22,hitRate=47%]', 
08-05 02:09:28.182  9658 16381 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:28.445  9658 16045 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Cache-Control max-age=315360000
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Connection close
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Content-Length 17022
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Content-Type image/png
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:23 GMT
08-05 02:09:28.446  9658 16045 D CustomInterceptor: ETag "5a9473c0-427e"
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Expires Fri, 08 Jan 2038 06:15:44 GMT
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Last-Modified Tue, 06 Mar 2018 03:13:09 GMT
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Server nginx/1.11.8
08-05 02:09:28.446  9658 16045 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:28.446  9658 16045 D CustomInterceptor: X-nginx-server app14
08-05 02:09:28.446  9658 16045 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.447  9658 16045 D CustomInterceptor: REQ https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.447  9658 16045 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.447  9658 16045 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/media/img/reader/default_profile_photo.png
08-05 02:09:28.453  9658 16045 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:28.550  9658 16381 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:28.551  9658 16381 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Connection close
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Content-Type application/json
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:24 GMT
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:28 GMT+00:00
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:28.552  9658 16381 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 02:09:28.552  9658 16381 D CustomInterceptor: X-gunicorn-server app09
08-05 02:09:28.552  9658 16381 D CustomInterceptor: X-Marge Get ready, skanks! It's time for the truth train!
08-05 02:09:28.552  9658 16381 D CustomInterceptor: CACHEABLE true
08-05 02:09:28.552  9658 16381 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-05 02:09:28.552  9658 16381 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:28.552  9658 16381 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=2&read_filter=all&global_feed=true
08-05 02:09:28.558  9658 16381 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:39.575  9658 16657 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=3&read_filter=all&global_feed=true
08-05 02:09:39.577  9658 16657 D CustomInterceptor: HEADER REQUEST
08-05 02:09:39.577  9658 16657 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:39.577  9658 16657 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:39.578  9658 16657 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:09:39.578  9658 16657 D CustomInterceptor: CACHED STATS: size = '15', maxSize = '100', hitCount = '22', createCount = '0', putCount = '22', evictionCount = '0', missCount = '23', toString = 'LruCache[maxSize=100,hits=22,misses=23,hitRate=48%]', 
08-05 02:09:39.578  9658 16657 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:40.155  9658 16657 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:40.156  9658 16657 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:40.156  9658 16657 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:40.156  9658 16657 D CustomInterceptor: Connection close
08-05 02:09:40.156  9658 16657 D CustomInterceptor: Content-Type application/json
08-05 02:09:40.156  9658 16657 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:35 GMT
08-05 02:09:40.156  9658 16657 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:40 GMT+00:00
08-05 02:09:40.157  9658 16657 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:40.157  9658 16657 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:40.157  9658 16657 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 02:09:40.157  9658 16657 D CustomInterceptor: X-gunicorn-server app16
08-05 02:09:40.157  9658 16657 D CustomInterceptor: X-Kent-Brockman ...And the fluffy kitten played with that ball of string all through the night. On a lighter note, a Kwik-E-Mart clerk was brutally murdered last night.
08-05 02:09:40.157  9658 16657 D CustomInterceptor: CACHEABLE true
08-05 02:09:40.157  9658 16657 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=3&read_filter=all&global_feed=true
08-05 02:09:40.157  9658 16657 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:40.157  9658 16657 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=3&read_filter=all&global_feed=true
08-05 02:09:40.177  9658 16657 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:40.309  9658 16657 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=4&read_filter=all&global_feed=true
08-05 02:09:40.309  9658 16657 D CustomInterceptor: HEADER REQUEST
08-05 02:09:40.309  9658 16657 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:40.309  9658 16657 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:40.309  9658 16657 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:09:40.310  9658 16657 D CustomInterceptor: CACHED STATS: size = '16', maxSize = '100', hitCount = '23', createCount = '0', putCount = '23', evictionCount = '0', missCount = '24', toString = 'LruCache[maxSize=100,hits=23,misses=24,hitRate=48%]', 
08-05 02:09:40.310  9658 16657 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:40.752  9658 16657 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:40.753  9658 16657 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Connection close
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Content-Type application/json
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:35 GMT
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:40 GMT+00:00
08-05 02:09:40.753  9658 16657 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:40.754  9658 16657 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:40.754  9658 16657 D CustomInterceptor: Vary Cookie, Accept-Encoding
08-05 02:09:40.754  9658 16657 D CustomInterceptor: X-gunicorn-server app01
08-05 02:09:40.754  9658 16657 D CustomInterceptor: X-Homer Books are useless! I only ever read one book, "To Kill A Mockingbird," and it gave me absolutely no insight on how to kill mockingbirds! Sure it taught me not to judge a man by the color of his skin...but what good does *that* do me?
08-05 02:09:40.754  9658 16657 D CustomInterceptor: CACHEABLE true
08-05 02:09:40.754  9658 16657 D CustomInterceptor: REQ https://www.newsblur.com/social/river_stories?order=newest&page=4&read_filter=all&global_feed=true
08-05 02:09:40.754  9658 16657 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:40.754  9658 16657 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/social/river_stories?order=newest&page=4&read_filter=all&global_feed=true
08-05 02:09:40.760  9658 16657 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:41.537  9658 16047 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/avatars.newsblur.com/avatars/136960/thumbnail_profile_1364434554.jpg
08-05 02:09:41.537  9658 16047 D CustomInterceptor: HEADER REQUEST
08-05 02:09:41.537  9658 16047 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:41.538  9658 16047 D CustomInterceptor: CACHED STATS: size = '17', maxSize = '100', hitCount = '24', createCount = '0', putCount = '24', evictionCount = '0', missCount = '25', toString = 'LruCache[maxSize=100,hits=24,misses=25,hitRate=48%]', 
08-05 02:09:41.538  9658 16047 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:41.656  9658 16047 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:41.657  9658 16047 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Accept-Ranges bytes
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Content-Length 3140
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Content-Type image/jpeg
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:38 GMT
08-05 02:09:41.658  9658 16047 D CustomInterceptor: ETag "798a0a1b2e4dfbe50c1fc578f2748179"
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:41 GMT+00:00
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Last-Modified Thu, 04 Apr 2013 07:55:15 GMT
08-05 02:09:41.658  9658 16047 D CustomInterceptor: Server AmazonS3
08-05 02:09:41.658  9658 16047 D CustomInterceptor: x-amz-id-2 WQpRBFI7Ftip23b2Bk/5HM9+lCB4iDvnFxBqOH5C+VSBtltlC5V4JREgvTrL73awdF0r0bZWvVk=
08-05 02:09:41.658  9658 16047 D CustomInterceptor: x-amz-request-id 99F2807CACB0AF90
08-05 02:09:41.658  9658 16047 D CustomInterceptor: CACHEABLE true
08-05 02:09:41.658  9658 16047 D CustomInterceptor: REQ https://s3.amazonaws.com/avatars.newsblur.com/avatars/136960/thumbnail_profile_1364434554.jpg
08-05 02:09:41.658  9658 16047 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:41.658  9658 16047 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/avatars.newsblur.com/avatars/136960/thumbnail_profile_1364434554.jpg
08-05 02:09:41.661  9658 16047 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:41.736  9658 16734 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:41.736  9658 16734 D CustomInterceptor: HEADER REQUEST
08-05 02:09:41.736  9658 16734 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:41.736  9658 16734 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:41.737  9658 16734 D CustomInterceptor: CACHED STATS: size = '18', maxSize = '100', hitCount = '25', createCount = '0', putCount = '25', evictionCount = '0', missCount = '26', toString = 'LruCache[maxSize=100,hits=25,misses=26,hitRate=49%]', 
08-05 02:09:41.737  9658 16734 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-05 02:09:42.204  9658 16734 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:42.205  9658 16734 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Connection close
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Content-Type application/json
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:37 GMT
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:42 GMT+00:00
08-05 02:09:42.205  9658 16734 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:42.206  9658 16734 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:42.206  9658 16734 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:09:42.206  9658 16734 D CustomInterceptor: Vary Cookie
08-05 02:09:42.206  9658 16734 D CustomInterceptor: X-gunicorn-server app09
08-05 02:09:42.206  9658 16734 D CustomInterceptor: X-Homer Oh, I'm in no condition to drive. Wait a minute. I don't have to listen to myself. I'm drunk.
08-05 02:09:42.206  9658 16734 D CustomInterceptor: CACHEABLE true
08-05 02:09:42.206  9658 16734 D CustomInterceptor: REQ https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:42.206  9658 16734 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:42.227  9658 16734 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:42.228  9658 16734 D CustomInterceptor: HEADER REQUEST
08-05 02:09:42.228  9658 16734 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:42.228  9658 16734 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:42.228  9658 16734 D CustomInterceptor: CACHED STATS: size = '18', maxSize = '100', hitCount = '25', createCount = '0', putCount = '25', evictionCount = '0', missCount = '27', toString = 'LruCache[maxSize=100,hits=25,misses=27,hitRate=48%]', 
08-05 02:09:42.228  9658 16734 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEPOST
08-05 02:09:42.701  9658 16734 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:42.703  9658 16734 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Connection close
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Content-Type application/json
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:37 GMT
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:42 GMT+00:00
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:09:42.703  9658 16734 D CustomInterceptor: Vary Cookie
08-05 02:09:42.703  9658 16734 D CustomInterceptor: X-gunicorn-server app09
08-05 02:09:42.703  9658 16734 D CustomInterceptor: X-Homer Oh, I'm in no condition to drive. Wait a minute. I don't have to listen to myself. I'm drunk.
08-05 02:09:42.704  9658 16734 D CustomInterceptor: CACHEABLE true
08-05 02:09:42.704  9658 16734 D CustomInterceptor: REQ https://www.newsblur.com/reader/mark_story_hashes_as_read/
08-05 02:09:42.704  9658 16734 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:46.121  9658 16833 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:46.122  9658 16833 D CustomInterceptor: HEADER REQUEST
08-05 02:09:46.122  9658 16833 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:46.122  9658 16833 D CustomInterceptor: CACHED STATS: size = '18', maxSize = '100', hitCount = '25', createCount = '0', putCount = '25', evictionCount = '0', missCount = '28', toString = 'LruCache[maxSize=100,hits=25,misses=28,hitRate=47%]', 
08-05 02:09:46.122  9658 16833 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:46.122  9658 16833 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-05 02:09:46.123  9658 16833 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-05 02:09:46.123  9658 16833 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 02:09:47.839  9658 16888 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/reader/feed_unread_count?feed_id=6882243&feed_id=18178
08-05 02:09:47.840  9658 16888 D CustomInterceptor: HEADER REQUEST
08-05 02:09:47.840  9658 16888 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:47.840  9658 16888 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:09:47.840  9658 16888 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:09:47.840  9658 16888 D CustomInterceptor: CACHED STATS: size = '18', maxSize = '100', hitCount = '26', createCount = '0', putCount = '25', evictionCount = '0', missCount = '28', toString = 'LruCache[maxSize=100,hits=26,misses=28,hitRate=48%]', 
08-05 02:09:47.840  9658 16888 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:09:48.442  9658 16888 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 02:09:48.443  9658 16888 D CustomInterceptor: HEADER RESPONSE
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Connection close
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Content-Type application/json
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Date Wed, 05 Aug 2020 00:09:43 GMT
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Expires Wed, 05 Aug 2020 00:14:48 GMT+00:00
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 00:09:43 GMT
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Server gunicorn/19.7.0
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Strict-Transport-Security max-age=0; includeSubDomains
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Transfer-Encoding chunked
08-05 02:09:48.443  9658 16888 D CustomInterceptor: Vary Cookie
08-05 02:09:48.443  9658 16888 D CustomInterceptor: X-gunicorn-server app26
08-05 02:09:48.443  9658 16888 D CustomInterceptor: X-Milhouse Look out, Itchy! He's Irish!
08-05 02:09:48.443  9658 16888 D CustomInterceptor: CACHEABLE true
08-05 02:09:48.444  9658 16888 D CustomInterceptor: REQ https://www.newsblur.com/reader/feed_unread_count?feed_id=6882243&feed_id=18178
08-05 02:09:48.444  9658 16888 D CustomInterceptor: REQ_SERV_BY net
08-05 02:09:48.444  9658 16888 D CustomInterceptor: PREFLIB Adding response to lrucache - https://www.newsblur.com/reader/feed_unread_count?feed_id=6882243&feed_id=18178
08-05 02:09:48.446  9658 16888 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 02:09:49.798  9658 16046 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:49.799  9658 16046 D CustomInterceptor: HEADER REQUEST
08-05 02:09:49.799  9658 16046 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:09:49.799  9658 16046 D CustomInterceptor: CACHED STATS: size = '19', maxSize = '100', hitCount = '27', createCount = '0', putCount = '26', evictionCount = '0', missCount = '29', toString = 'LruCache[maxSize=100,hits=27,misses=29,hitRate=48%]', 
08-05 02:09:49.799  9658 16046 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:09:49.799  9658 16046 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-05 02:09:49.799  9658 16046 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-05 02:09:49.799  9658 16046 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 02:10:08.794  9658 17375 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/social/river_stories?order=newest&page=1&read_filter=all
08-05 02:10:08.795  9658 17375 D CustomInterceptor: HEADER REQUEST
08-05 02:10:08.796  9658 17375 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:08.796  9658 17375 D CustomInterceptor: Cookie newsblur_sessionid=qlbd3ilzka7q9q07v2htr96j75kh6za7; Domain=.newsblur.com; expires=Thu, 04 Aug 2022 22:30:33 GMT; Max-Age=63072000; Path=/
08-05 02:10:08.796  9658 17375 D CustomInterceptor: User-Agent NewsBlur Android app (Huawei Nexus 6P 6.0 9.0b1)
08-05 02:10:08.796  9658 17375 D CustomInterceptor: CACHED STATS: size = '19', maxSize = '100', hitCount = '28', createCount = '0', putCount = '26', evictionCount = '0', missCount = '29', toString = 'LruCache[maxSize=100,hits=28,misses=29,hitRate=49%]', 
08-05 02:10:08.796  9658 17375 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:10:08.808  9658 16833 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:10:08.809  9658 16833 D CustomInterceptor: HEADER REQUEST
08-05 02:10:08.809  9658 16833 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:08.809  9658 16833 D CustomInterceptor: CACHED STATS: size = '19', maxSize = '100', hitCount = '28', createCount = '0', putCount = '26', evictionCount = '0', missCount = '30', toString = 'LruCache[maxSize=100,hits=28,misses=30,hitRate=48%]', 
08-05 02:10:08.809  9658 16833 D CustomInterceptor: PREFLIB GET REQUEST http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 02:10:08.809  9658 16833 D CustomInterceptor: PREFLIB found http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs, sending it back
08-05 02:10:08.809  9658 16833 D CustomInterceptor: CONTENT GIF89aÀ€À€ï¿½À€À€ï¿½ï¿½ï¿½À€À€À€!ï¿½À€À€À€À€,À€À€À€À€À€À€À€DÀ€;
08-05 02:10:08.809  9658 16833 D CustomInterceptor: interceptor_finished : return_type #2 : request served from cache
08-05 02:10:08.821  9658 16045 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/850543.png
08-05 02:10:08.822  9658 16045 D CustomInterceptor: HEADER REQUEST
08-05 02:10:08.822  9658 16045 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:08.823  9658 16045 D CustomInterceptor: CACHED STATS: size = '19', maxSize = '100', hitCount = '29', createCount = '0', putCount = '26', evictionCount = '0', missCount = '30', toString = 'LruCache[maxSize=100,hits=29,misses=30,hitRate=49%]', 
08-05 02:10:08.823  9658 16045 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:10:08.842  9658 16060 D CustomInterceptor: NETWORK-PROVIDER https://64.media.tumblr.com/58fdb3e3c1b2ba1306c2d1be0119460e/75c91623ddb4dfe2-55/s1280x1920/18a33520ca63b4c9f1d09ba5a5eb6fab3b9c104d.jpg
08-05 02:10:08.843  9658 16060 D CustomInterceptor: HEADER REQUEST
08-05 02:10:08.843  9658 16060 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 02:10:08.843  9658 16060 D CustomInterceptor: CACHED STATS: size = '19', maxSize = '100', hitCount = '29', createCount = '0', putCount = '26', evictionCount = '0', missCount = '31', toString = 'LruCache[maxSize=100,hits=29,misses=31,hitRate=48%]', 
08-05 02:10:08.843  9658 16060 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 02:10:08.929  9658 16045 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
